analysis_category,date_value,cve_count,activity_classification
DAILY_TREND,2025-07-07T02:01:10.961Z,1,Normal
DAILY_TREND,2025-07-07T00:00:00.000Z,1,Normal
DAILY_TREND,2025-07-05T00:00:00.000Z,1,Normal
DAILY_TREND,2025-07-04T08:36:35.184Z,1,Normal
DAILY_TREND,2025-07-04T07:22:18.344Z,1,Normal
DAILY_TREND,2025-07-03T09:22:19.308Z,1,Normal
DAILY_TREND,2025-07-03T06:44:25.405Z,1,Normal
DAILY_TREND,2025-07-02T11:23:22.750Z,1,Normal
DAILY_TREND,2025-07-02T06:40:23.607Z,1,Normal
DAILY_TREND,2025-07-02T05:29:18.066Z,1,Normal
DAILY_TREND,2025-07-02T03:47:26.444Z,1,Normal
DAILY_TREND,2025-07-01T02:07:06.631Z,1,Normal
DAILY_TREND,2025-07-01T02:07:02.922Z,1,Normal
DAILY_TREND,2025-07-01T01:55:51.242Z,1,Normal
DAILY_TREND,2025-07-01T01:43:13.767Z,1,Normal
DAILY_TREND,2025-06-30T15:43:59.956Z,1,Normal
DAILY_TREND,2025-06-30T09:39:50.792Z,1,Normal
DAILY_TREND,2025-06-30T00:00:00.000Z,1,Normal
DAILY_TREND,2025-06-29T12:02:41.126Z,1,Normal
DAILY_TREND,2025-06-28T00:59:23.758Z,1,Normal
DAILY_TREND,2025-06-28T00:36:51.884Z,1,Normal
DAILY_TREND,2025-06-27T22:14:01.944Z,1,Normal
DAILY_TREND,2025-06-27T17:00:28.792Z,1,Normal
DAILY_TREND,2025-06-27T16:40:47.711Z,1,Normal
DAILY_TREND,2025-06-27T16:13:51.955Z,1,Normal
DAILY_TREND,2025-06-27T15:41:18.551Z,1,Normal
DAILY_TREND,2025-06-27T08:23:57.966Z,1,Normal
DAILY_TREND,2025-06-26T09:25:20.199Z,1,Normal
DAILY_TREND,2025-06-26T09:15:25.462Z,1,Normal
DAILY_TREND,2025-06-26T00:00:00.000Z,1,Normal
DAILY_TREND,2025-06-25T07:28:17.332Z,1,Normal
DAILY_TREND,2025-06-25T07:26:56.570Z,1,Normal
DAILY_TREND,2025-06-25T07:25:00.402Z,1,Normal
DAILY_TREND,2025-06-25T07:23:15.189Z,1,Normal
DAILY_TREND,2025-06-25T07:22:04.783Z,1,Normal
DAILY_TREND,2025-06-25T07:20:29.048Z,1,Normal
DAILY_TREND,2025-06-25T07:17:32.423Z,1,Normal
DAILY_TREND,2025-06-25T07:15:16.800Z,1,Normal
DAILY_TREND,2025-06-25T00:00:00.000Z,1,Normal
DAILY_TREND,2025-06-24T03:37:42.327Z,1,Normal
DAILY_TREND,2025-06-24T00:00:00.000Z,1,Normal
DAILY_TREND,2025-06-23T09:34:38.676Z,1,Normal
DAILY_TREND,2025-06-23T08:47:55.266Z,1,Normal
DAILY_TREND,2025-06-20T18:14:37.887Z,1,Normal
DAILY_TREND,2025-06-20T18:14:33.011Z,1,Normal
DAILY_TREND,2025-06-20T13:58:37.159Z,1,Normal
DAILY_TREND,2025-06-20T13:51:04.102Z,1,Normal
DAILY_TREND,2025-06-19T13:17:39.651Z,1,Normal
DAILY_TREND,2025-06-18T23:30:53.998Z,1,Normal
DAILY_TREND,2025-06-18T16:13:10.754Z,1,Normal
DAILY_TREND,2025-06-18T15:08:50.493Z,1,Normal
DAILY_TREND,2025-06-17T00:00:00.000Z,1,Normal
DAILY_TREND,2025-06-15T15:25:38.540Z,1,Normal
DAILY_TREND,2025-06-13T07:10:31.166Z,1,Normal
DAILY_TREND,2025-06-13T06:46:12.145Z,1,Normal
DAILY_TREND,2025-06-13T06:41:26.536Z,1,Normal
DAILY_TREND,2025-06-13T06:40:41.885Z,1,Normal
DAILY_TREND,2025-06-12T16:05:31.562Z,1,Normal
DAILY_TREND,2025-06-12T14:56:56.939Z,1,Normal
DAILY_TREND,2025-06-12T14:02:55.123Z,1,Normal
DAILY_TREND,2025-06-12T00:00:00.000Z,1,Normal
DAILY_TREND,2025-06-11T06:55:31.200Z,1,Normal
DAILY_TREND,2025-06-11T02:59:06.240Z,1,Normal
DAILY_TREND,2025-06-11T01:15:13.116Z,1,Normal
DAILY_TREND,2025-06-10T23:25:30.420Z,1,Normal
DAILY_TREND,2025-06-10T23:22:10.307Z,1,Normal
DAILY_TREND,2025-06-10T23:19:47.186Z,1,Normal
DAILY_TREND,2025-06-10T16:59:54.945Z,1,Normal
DAILY_TREND,2025-06-10T16:36:21.786Z,1,Normal
DAILY_TREND,2025-06-10T16:36:15.059Z,1,Normal
DAILY_TREND,2025-06-10T16:36:10.666Z,1,Normal
DAILY_TREND,2025-06-10T16:36:06.088Z,1,Normal
DAILY_TREND,2025-06-10T16:36:06.068Z,1,Normal
DAILY_TREND,2025-06-10T15:17:11.253Z,1,Normal
DAILY_TREND,2025-06-10T14:49:05.368Z,1,Normal
